,Day,Ticker,VaR,ES,Actual_Loss,Is VaR good,Is ES good
109,2018-07-25,WFC,-0.03561334087054835,-0.12721777457057148,-0.0021276595744680327,True,True
110,2018-07-24,WFC,-0.03561334087054835,-0.12721777457057148,0.0060649304316802155,True,True
111,2018-07-23,WFC,-0.03561334087054835,-0.12721777457057148,0.028246515040352138,True,True
112,2018-07-20,WFC,-0.03561334087054835,-0.12721777457057148,0.0012855831037650312,True,True
113,2018-07-19,WFC,-0.03561334087054835,-0.12721777457057148,-0.004206291148500352,True,True
114,2018-07-18,WFC,-0.03561334087054835,-0.12721777457057148,0.00018291567587347402,True,True
115,2018-07-17,WFC,-0.03561334087054835,-0.12721777457057148,-0.007623888182973326,True,True
116,2018-07-16,WFC,-0.03561334087054835,-0.12721777457057148,0.02952719117921898,True,True
117,2018-07-13,WFC,-0.03561334087054835,-0.12721777457057148,-0.012001477104874425,True,True
118,2018-07-12,WFC,-0.03561334087054835,-0.12721777457057148,-0.0007380073800739018,True,True
119,2018-07-11,WFC,-0.03561334087054835,-0.12721777457057148,-0.009683902795541655,True,True
120,2018-07-10,WFC,-0.03561334087054835,-0.12721777457057148,-0.0025514853289593242,True,True
121,2018-07-09,WFC,-0.03561334087054835,-0.12721777457057148,0.015734912995186923,True,True
122,2018-07-06,WFC,-0.03561334087054835,-0.12721777457057148,0.011799962539801534,True,True
123,2018-07-05,WFC,-0.03561334087054835,-0.12721777457057148,-0.005772811918063336,True,True
124,2018-07-03,WFC,-0.03561334087054835,-0.12721777457057148,-0.013592946362968261,True,True
125,2018-07-02,WFC,-0.03561334087054835,-0.12721777457057148,0.01586116812838201,True,True
126,2018-06-29,WFC,-0.03561334087054835,-0.12721777457057148,0.03375771604938271,True,True
127,2018-06-28,WFC,-0.03561334087054835,-0.12721777457057148,0.0066019417475728925,True,True
128,2018-06-27,WFC,-0.03561334087054835,-0.12721777457057148,-0.0027110766847405765,True,True
129,2018-06-26,WFC,-0.03561334087054835,-0.12721777457057148,-0.00996932515337412,True,True
130,2018-06-25,WFC,-0.03561334087054835,-0.12721777457057148,0.00038358266206350855,True,True
131,2018-06-22,WFC,-0.03561334087054835,-0.12721777457057148,-0.007802093244528963,True,True
132,2018-06-21,WFC,-0.03561334087054835,-0.12721777457057148,-0.002088872009115117,True,True
133,2018-06-20,WFC,-0.03561334087054835,-0.12721777457057148,-0.010894064613072962,True,True
134,2018-06-19,WFC,-0.03561334087054835,-0.12721777457057148,0.0,True,True
135,2018-06-18,WFC,-0.03561334087054835,-0.12721777457057148,0.0018818216033120727,True,True
136,2018-06-15,WFC,-0.03561334087054835,-0.12721777457057148,0.004347004347004413,True,True
137,2018-06-14,WFC,-0.03561334087054835,-0.12721777457057148,-0.007689422355589004,True,True
138,2018-06-13,WFC,-0.03561334087054835,-0.12721777457057148,-0.003923033812815224,True,True
139,2018-06-12,WFC,-0.03561334087054835,-0.12721777457057148,-0.002236719478098781,True,True
140,2018-06-11,WFC,-0.03561334087054835,-0.12721777457057148,-0.0031586770717205725,True,True
141,2018-06-08,WFC,-0.03561334087054835,-0.12721777457057148,0.0009298865538402978,True,True
142,2018-06-07,WFC,-0.03561334087054835,-0.12721777457057148,0.0009307520476546927,True,True
143,2018-06-06,WFC,-0.03561334087054835,-0.12721777457057148,0.019741837509491322,True,True
144,2018-06-05,WFC,-0.03561334087054835,-0.12721777457057148,-0.006037735849056647,True,True
145,2018-06-04,WFC,-0.03561334087054835,-0.12721777457057148,0.0026485054861900004,True,True
146,2018-06-01,WFC,-0.03561334087054835,-0.12721777457057148,0.0128377083732516,True,True
147,2018-05-31,WFC,-0.03561334087054835,-0.12721777457057148,-0.004387638305990205,True,True
148,2018-05-30,WFC,-0.03561334087054835,-0.12721777457057148,0.02422821414615095,True,True
149,2018-05-29,WFC,-0.03441455696202533,-0.12721777457057148,-0.03561334087054835,False,True
150,2018-05-25,WFC,-0.03441455696202533,-0.12721777457057148,0.004352763058289133,True,True
151,2018-05-24,WFC,-0.03441455696202533,-0.12721777457057148,-0.02688766114180463,True,True
152,2018-05-23,WFC,-0.03441455696202533,-0.12721777457057148,0.01666354615240584,True,True
153,2018-05-22,WFC,-0.03441455696202533,-0.12721777457057148,0.01308801213960531,True,True
154,2018-05-21,WFC,-0.03441455696202533,-0.12721777457057148,0.015603929878636125,True,True
155,2018-05-18,WFC,-0.03441455696202533,-0.12721777457057148,-0.009540164090822367,True,True
156,2018-05-17,WFC,-0.03441455696202533,-0.12721777457057148,-0.014849624060150446,True,True
157,2018-05-16,WFC,-0.03441455696202533,-0.12721777457057148,0.005291005291005346,True,True
158,2018-05-15,WFC,-0.03441455696202533,-0.12721777457057148,0.004937333839726721,True,True
159,2018-05-14,WFC,-0.03441455696202533,-0.12721777457057148,0.0005700171005129651,True,True
160,2018-05-11,WFC,-0.03441455696202533,-0.12721777457057148,-0.003597122302158251,True,True
161,2018-05-10,WFC,-0.03441455696202533,-0.12721777457057148,0.016551193225558203,True,True
162,2018-05-09,WFC,-0.03441455696202533,-0.12721777457057148,0.010698307722233125,True,True
163,2018-05-08,WFC,-0.03441455696202533,-0.12721777457057148,0.010019646365422297,True,True
164,2018-05-07,WFC,-0.03441455696202533,-0.12721777457057148,0.0047374654559810825,True,True
165,2018-05-04,WFC,-0.03441455696202533,-0.12721777457057148,0.01686069851465266,True,True
166,2018-05-03,WFC,-0.03441455696202533,-0.12721777457057148,-0.00499300978629913,True,True
167,2018-05-02,WFC,-0.03441455696202533,-0.12721777457057148,-0.0069416898056327,True,True
168,2018-05-01,WFC,-0.03441455696202533,-0.12721777457057148,0.011434302908726268,True,True
169,2018-04-30,WFC,-0.03441455696202533,-0.12721777457057148,-0.007565200079633572,True,True
170,2018-04-27,WFC,-0.03441455696202533,-0.12721777457057148,-0.0015901411250249797,True,True
171,2018-04-26,WFC,-0.03441455696202533,-0.12721777457057148,-0.012561334641805755,True,True
172,2018-04-25,WFC,-0.03441455696202533,-0.12721777457057148,0.011314013497419673,True,True
173,2018-04-24,WFC,-0.03441455696202533,-0.12721777457057148,-0.0017832375668713762,True,True
174,2018-04-23,WFC,-0.03441455696202533,-0.12721777457057148,0.0009916699722332112,True,True
175,2018-04-20,WFC,-0.03441455696202533,-0.12721777457057148,0.019615773508594447,True,True
176,2018-04-19,WFC,-0.03441455696202533,-0.12721777457057148,0.022962350020686806,True,True
177,2018-04-18,WFC,-0.03441455696202533,-0.12721777457057148,-0.0035044320758604863,True,True
178,2018-04-17,WFC,-0.03441455696202533,-0.12721777457057148,-0.004718916700861775,True,True
179,2018-04-16,WFC,-0.03441455696202533,-0.12721777457057148,-0.0016386726751330682,True,True
180,2018-04-13,WFC,-0.029370906925977436,-0.12721777457057148,-0.03441455696202533,False,True
181,2018-04-12,WFC,-0.03346774193548396,-0.12721777457057148,0.014853472501003662,True,True
182,2018-04-11,WFC,-0.03346774193548396,-0.12721777457057148,-0.01307448494453245,True,True
183,2018-04-10,WFC,-0.03346774193548396,-0.12721777457057148,0.0069818471972868945,True,True
184,2018-04-09,WFC,-0.03346774193548396,-0.12721777457057148,0.0003991219317502903,True,True
185,2018-04-06,WFC,-0.03346774193548396,-0.12721777457057148,-0.019373776908023554,True,True
186,2018-04-05,WFC,-0.03346774193548396,-0.12721777457057148,0.006698187549251555,True,True
187,2018-04-04,WFC,-0.03346774193548396,-0.12721777457057148,0.01601281024819845,True,True
188,2018-04-03,WFC,-0.03346774193548396,-0.12721777457057148,0.014210312626877775,True,True
189,2018-04-02,WFC,-0.03346774193548396,-0.12721777457057148,-0.02028639618138428,True,True
190,2018-03-29,WFC,-0.03346774193548396,-0.12721777457057148,0.018019842073294212,True,True
191,2018-03-28,WFC,-0.03346774193548396,-0.12721777457057148,0.007547939616483035,True,True
192,2018-03-27,WFC,-0.03346774193548396,-0.1263677946545237,-0.022727272727272596,True,True
193,2018-03-26,WFC,-0.03346774193548396,-0.1263677946545237,0.025557145777959533,True,True
194,2018-03-23,WFC,-0.03346774193548396,-0.12231712522894886,-0.029370906925977436,True,True
195,2018-03-22,WFC,-0.02753872633390697,-0.12231712522894886,-0.04128614916286155,False,True
196,2018-03-21,WFC,-0.02753872633390697,-0.12231712522894886,-0.0020884754129485428,True,True
197,2018-03-20,WFC,-0.02753872633390697,-0.12231712522894886,-0.0103344607290492,True,True
198,2018-03-19,WFC,-0.030849284519606113,-0.12231712522894886,-0.007644974827522022,True,True
199,2018-03-16,WFC,-0.030849284519606113,-0.12231712522894886,-0.016324284666177524,True,True
200,2018-03-15,WFC,-0.030849284519606113,-0.12231712522894886,0.003497147064237094,True,True
201,2018-03-14,WFC,-0.030849284519606113,-0.12231712522894886,-0.01611734878667148,True,True
202,2018-03-13,WFC,-0.030849284519606113,-0.12231712522894886,-0.007905138339920903,True,True
203,2018-03-12,WFC,-0.030849284519606113,-0.12231712522894886,-0.00358037952022916,True,True
204,2018-03-09,WFC,-0.030849284519606113,-0.12231712522894886,0.0266495129571771,True,True
205,2018-03-08,WFC,-0.030849284519606113,-0.12231712522894886,0.0020257826887661867,True,True
206,2018-03-07,WFC,-0.030849284519606113,-0.12231712522894886,-0.008219178082191858,True,True
207,2018-03-06,WFC,-0.030849284519606113,-0.12231712522894886,-0.009049773755656076,True,True
208,2018-03-05,WFC,-0.030849284519606113,-0.12231712522894886,0.0030864197530864335,True,True
209,2018-03-02,WFC,-0.030849284519606113,-0.12231712522894886,0.0018188432157149048,True,True
210,2018-03-01,WFC,-0.030849284519606113,-0.12231712522894886,-0.01891506067094939,True,True
211,2018-02-28,WFC,-0.030849284519606113,-0.12231712522894886,-0.013380281690140827,True,True
212,2018-02-27,WFC,-0.030849284519606113,-0.12231712522894886,-0.01268903180949077,True,True
213,2018-02-26,WFC,-0.030849284519606113,-0.12231712522894886,0.013565891472868241,True,True
214,2018-02-23,WFC,-0.030849284519606113,-0.12231712522894886,0.00602623183268336,True,True
215,2018-02-22,WFC,-0.030849284519606113,-0.12231712522894886,-0.015357766143106355,True,True
216,2018-02-21,WFC,-0.030849284519606113,-0.12231712522894886,-0.003651538862806447,True,True
217,2018-02-20,WFC,-0.030849284519606113,-0.12231712522894886,0.0,True,True
218,2018-02-16,WFC,-0.030849284519606113,-0.12231712522894886,-0.0012156998957971732,True,True
219,2018-02-15,WFC,-0.030849284519606113,-0.12231712522894886,0.0078767722737616,True,True
220,2018-02-14,WFC,-0.030849284519606113,-0.12231712522894886,0.026779295470884312,True,True
221,2018-02-13,WFC,-0.030849284519606113,-0.11956037394777046,0.02656826568265669,True,True
222,2018-02-12,WFC,-0.030849284519606113,-0.10844869023276757,0.006499535747446661,True,True
223,2018-02-09,WFC,-0.030849284519606113,-0.09598721928833119,0.013170272812794037,True,True
224,2018-02-08,WFC,-0.02753872633390697,-0.08230190248565113,-0.0371376811594204,False,True
225,2018-02-07,WFC,-0.02753872633390697,-0.07354801653574083,0.0045495905368517775,True,True
226,2018-02-06,WFC,-0.02753872633390697,-0.06589245629449561,-0.015232974910394215,True,True
227,2018-02-05,WFC,-0.025855365474338976,-0.05959694809263421,-0.09224011713030744,False,False
228,2018-02-02,WFC,-0.025855365474338976,-0.05959694809263421,-0.021957040572792352,True,True
229,2018-02-01,WFC,-0.025855365474338976,-0.05959694809263421,0.0019129603060736855,True,True
230,2018-01-31,WFC,-0.025855365474338976,-0.05959694809263421,0.007548988114359112,True,True
231,2018-01-30,WFC,-0.025855365474338976,-0.05959694809263421,-0.008124900430141913,True,True
232,2018-01-29,WFC,-0.025855365474338976,-0.05959694809263421,-0.001749363867684428,True,True
233,2018-01-26,WFC,-0.025855365474338976,-0.05959694809263421,0.004312410158121782,True,True
234,2018-01-25,WFC,-0.025855365474338976,-0.05959694809263421,0.0025620496397116277,True,True
235,2018-01-24,WFC,-0.025855365474338976,-0.05959694809263421,0.015447154471544655,True,True
236,2018-01-23,WFC,-0.025855365474338976,-0.05959694809263421,-0.0037259031265186593,True,True
237,2018-01-22,WFC,-0.025855365474338976,-0.05959694809263421,0.008001306335728264,True,True
238,2018-01-19,WFC,-0.025855365474338976,-0.05959694809263421,0.0040990326282996925,True,True
239,2018-01-18,WFC,-0.025855365474338976,-0.05959694809263421,0.0011490479317137758,True,True
240,2018-01-17,WFC,-0.025855365474338976,-0.05959694809263421,0.022147651006711344,True,True
241,2018-01-16,WFC,-0.025855365474338976,-0.05959694809263421,-0.0008382229673092878,True,True
242,2018-01-12,WFC,-0.02753872633390697,-0.05959694809263421,-0.007322349808620454,True,True
243,2018-01-11,WFC,-0.02753872633390697,-0.05959694809263421,-0.00182724252491695,True,True
244,2018-01-10,WFC,-0.02753872633390697,-0.05959694809263421,0.013809363422027543,True,True
245,2018-01-09,WFC,-0.02753872633390697,-0.05959694809263421,0.0035490958255872673,True,True
246,2018-01-08,WFC,-0.02753872633390697,-0.05959694809263421,-0.011196524064171154,True,True
247,2018-01-05,WFC,-0.02753872633390697,-0.05959694809263421,0.006729475100942128,True,True
248,2018-01-04,WFC,-0.02753872633390697,-0.05959694809263421,0.012433997615397763,True,True
249,2018-01-03,WFC,-0.02753872633390697,-0.05959694809263421,0.007723995880535517,True,True
250,2018-01-02,WFC,-0.02753872633390697,-0.05959694809263421,0.006913238852402248,True,True
251,2017-12-29,WFC,-0.02753872633390697,-0.05959694809263421,-0.010263427984946949,True,True
252,2017-12-28,WFC,-0.02753872633390697,-0.05959694809263421,0.005676931016686648,True,True
253,2017-12-27,WFC,-0.02753872633390697,-0.05959694809263421,-0.002915951972555675,True,True
254,2017-12-26,WFC,-0.02753872633390697,-0.05959694809263421,-0.006814310051107442,True,True
255,2017-12-22,WFC,-0.02753872633390697,-0.05959694809263421,-0.0010211027910141945,True,True
256,2017-12-21,WFC,-0.02753872633390697,-0.05959694809263421,0.02458587619877939,True,True
257,2017-12-20,WFC,-0.02753872633390697,-0.05959694809263421,-0.0036483669214733006,True,True
258,2017-12-19,WFC,-0.02753872633390697,-0.05959694809263421,-0.009294320137693601,True,True
259,2017-12-18,WFC,-0.02753872633390697,-0.05959694809263421,0.017513134851138368,True,True
260,2017-12-15,WFC,-0.02753872633390697,-0.05959694809263421,0.010977337110481766,True,True
261,2017-12-14,WFC,-0.02753872633390697,-0.05959694809263421,-0.0030008826125331733,True,True
262,2017-12-13,WFC,-0.02753872633390697,-0.05959694809263421,-0.015296367112810794,True,True
263,2017-12-12,WFC,-0.02753872633390697,-0.05959694809263421,0.02475952974706086,True,True
264,2017-12-11,WFC,-0.02753872633390697,-0.05959694809263421,-0.007425742574257432,True,True
265,2017-12-08,WFC,-0.02753872633390697,-0.05959694809263421,-0.0008832361773537523,True,True
266,2017-12-07,WFC,-0.02753872633390697,-0.05959694809263421,0.013426423200859183,True,True
267,2017-12-06,WFC,-0.02753872633390697,-0.05959694809263421,0.00035816618911166387,True,True
268,2017-12-05,WFC,-0.02753872633390697,-0.05959694809263421,0.020281381326512138,True,True
269,2017-12-04,WFC,-0.02753872633390697,-0.05959694809263421,0.02108208955223878,True,True
